Ref,Val,Package,PosX,PosY,Rot,Side
"R2820","100R","R_2512_6332Metric",54.376000,-104.638000,180.000000,bottom
"R2821","100R","R_2512_6332Metric",54.376000,-88.354000,180.000000,bottom
"R2822","100R","R_2512_6332Metric",54.376000,-96.510000,180.000000,bottom
"R2823","100R","R_2512_6332Metric",54.376000,-100.574000,180.000000,bottom
"R2824","100R","R_2512_6332Metric",54.376000,-92.446000,180.000000,bottom
"R2825","100R","R_2512_6332Metric",54.376000,-84.318000,180.000000,bottom
"R2826","330R","R_0805_2012Metric",52.344000,-123.942000,0.000000,bottom
"R2827","330R","R_0805_2012Metric",67.888000,-73.512000,180.000000,bottom
"R2828","10K","R_0805_2012Metric",57.170000,-80.508000,90.000000,bottom
"R2829","1K","R_0805_2012Metric",59.710000,-80.508000,270.000000,bottom
"R2830","100R","R_2512_6332Metric",62.504000,-120.894000,180.000000,bottom
"R2831","100R","R_2512_6332Metric",62.504000,-116.830000,180.000000,bottom
"R2832","100R","R_2512_6332Metric",62.504000,-112.766000,180.000000,bottom
"R2833","100R","R_2512_6332Metric",62.504000,-104.638000,180.000000,bottom
"R2834","100R","R_2512_6332Metric",62.504000,-108.702000,180.000000,bottom
"R2835","100R","R_2512_6332Metric",62.504000,-88.354000,180.000000,bottom
"R2836","100R","R_2512_6332Metric",62.504000,-96.510000,180.000000,bottom
"R2837","100R","R_2512_6332Metric",62.504000,-92.446000,180.000000,bottom
"R2838","100R","R_2512_6332Metric",62.504000,-84.318000,180.000000,bottom
"R2839","100R","R_2512_6332Metric",62.504000,-100.574000,180.000000,bottom
"R2840","330R","R_0805_2012Metric",60.472000,-123.942000,0.000000,bottom
"R2841","330R","R_0805_2012Metric",67.888000,-71.480000,180.000000,bottom
"R2842","10K","R_0805_2012Metric",65.298000,-80.508000,90.000000,bottom
"R2843","1K","R_0805_2012Metric",67.838000,-80.508000,270.000000,bottom
"R2844","100R","R_2512_6332Metric",70.632000,-112.766000,180.000000,bottom
"R2845","100R","R_2512_6332Metric",70.632000,-120.894000,180.000000,bottom
"R2846","100R","R_2512_6332Metric",70.632000,-116.830000,180.000000,bottom
"R2847","100R","R_2512_6332Metric",70.632000,-108.702000,180.000000,bottom
"R2848","100R","R_2512_6332Metric",70.632000,-104.638000,180.000000,bottom
"R2849","100R","R_2512_6332Metric",70.632000,-92.446000,180.000000,bottom
"R2850","100R","R_2512_6332Metric",70.632000,-100.574000,180.000000,bottom
"R2851","100R","R_2512_6332Metric",70.632000,-96.482000,180.000000,bottom
"R2852","100R","R_2512_6332Metric",70.632000,-88.382000,180.000000,bottom
"R2853","100R","R_2512_6332Metric",70.632000,-84.318000,180.000000,bottom
"R2854","330R","R_0805_2012Metric",68.681000,-123.942000,0.000000,bottom
"R2855","330R","R_0805_2012Metric",67.888000,-69.448000,180.000000,bottom
"R2856","10K","R_0805_2012Metric",73.426000,-80.508000,90.000000,bottom
"R2901","1K","R_0805_2012Metric",80.035000,-18.569000,270.000000,bottom
"R2902","100R","R_2512_6332Metric",82.829000,-54.891000,180.000000,bottom
"R2903","100R","R_2512_6332Metric",82.829000,-50.827000,180.000000,bottom
"R2904","100R","R_2512_6332Metric",82.829000,-58.955000,180.000000,bottom
"R2905","100R","R_2512_6332Metric",82.829000,-46.763000,180.000000,bottom
"R2906","100R","R_2512_6332Metric",82.829000,-34.571000,180.000000,bottom
"R2907","100R","R_2512_6332Metric",82.829000,-42.671000,180.000000,bottom
