Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R301,1K,R_0805_2012Metric,200.152,-29.718,180,top
R302,1K,R_0805_2012Metric,200.152,-31.75,180,top
R303,1K,R_0805_2012Metric,200.152,-33.782,180,top
R304,ADJ,R_0805_2012Metric,200.152,-35.814,180,top
R305,1K,R_0805_2012Metric,175.514,-27.178,0,top
R306,1K,R_0805_2012Metric,175.514,-29.21,0,top
R307,1R,R_0805_2012Metric,219.456,-29.718,0,top
R308,1R,R_0805_2012Metric,215.646,-29.718,0,top
R309,1R,R_0805_2012Metric,211.836,-29.718,0,top
R310,1R,R_0805_2012Metric,219.456,-31.75,0,top
R311,1R,R_0805_2012Metric,215.646,-31.75,0,top
R312,1R,R_0805_2012Metric,211.836,-33.782,0,top
R313,1K,R_0805_2012Metric,204.216,-29.718,0,top
R314,ADJ,R_0805_2012Metric,204.216,-31.75,0,top
R315,1R,R_0805_2012Metric,219.456,-33.782,0,top
R316,1R,R_0805_2012Metric,215.646,-33.782,0,top
R317,1R,R_0805_2012Metric,211.836,-31.75,0,top
R501,1K,R_0805_2012Metric,18.288,-38.481,180,top
R502,1K,R_0805_2012Metric,21.717,-38.481,180,top
R503,1K,R_0805_2012Metric,25.146,-38.481,180,top
R504,1K,R_0805_2012Metric,28.575,-38.481,180,top
R505,1K,R_0805_2012Metric,14.859,-38.481,180,top
R506,1K,R_0805_2012Metric,14.478,-47.879,0,top
R507,1K,R_0805_2012Metric,32.06,-42.139,180,top
R508,1K,R_0805_2012Metric,32.06,-48.235,180,top
R509,1K,R_0805_2012Metric,28.575,-57.15,0,top
R510,1K,R_0805_2012Metric,25.146,-57.15,0,top
R511,1K,R_0805_2012Metric,21.717,-57.15,0,top
R512,1K,R_0805_2012Metric,18.288,-57.15,0,top
R513,1K,R_0805_2012Metric,31.369,-55.88,270,top
R514,1K,R_0805_2012Metric,14.732,-57.15,180,top
R515,1K,R_0805_2012Metric,27.94,-49.505,180,top
R516,1K,R_0805_2012Metric,32.06,-52.68,180,top
R601,1K,R_0805_2012Metric,18.393,-12.802,180,top
R602,1K,R_0805_2012Metric,21.822,-12.802,180,top
R603,1K,R_0805_2012Metric,25.251,-12.802,180,top
R604,1K,R_0805_2012Metric,28.68,-12.802,180,top
R605,1K,R_0805_2012Metric,14.964,-12.802,180,top
R606,1K,R_0805_2012Metric,14.583,-22.2,0,top
R607,1K,R_0805_2012Metric,32.165,-16.46,180,top
R608,1K,R_0805_2012Metric,32.165,-22.556,180,top
R609,1K,R_0805_2012Metric,28.68,-31.471,0,top
R610,1K,R_0805_2012Metric,25.251,-31.471,0,top
R611,1K,R_0805_2012Metric,21.822,-31.471,0,top
R612,1K,R_0805_2012Metric,18.393,-31.471,0,top
R613,1K,R_0805_2012Metric,31.474,-30.201,270,top
R614,1K,R_0805_2012Metric,14.837,-31.471,180,top
R615,1K,R_0805_2012Metric,28.045,-23.826,180,top
R616,1K,R_0805_2012Metric,32.165,-27.001,180,top
R701,1K,R_0805_2012Metric,18.264,-100.454,180,top
R702,1K,R_0805_2012Metric,21.693,-100.454,180,top
